species,baits_count,baits,specificity
Lutjanus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Monotaxis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Moon (Thalassoma lunare),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Moorish Idol (Zanclus cornutus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Meiacanthus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Mozambique Fangblenny (Meiacanthus mossambicus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Paracirrhites,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Parupeneus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Paletail Unicorn (Naso brevirostris),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Orange-lined (Balistapus undulatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Labrichthys,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lined Bristletooth (Ctenochaetus striatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lethrinidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Holocentridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Indian Redfin (Chaetodon trifasciatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Indian Half-and-Half (Pycnochromis dimidiatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Humpnose Bigeye (Monotaxis grandoculis),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Leopard (Cephalopholis leopardus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Labroides,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Labridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Halichoeres,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Gomphosus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Green (Amblyglyphidodon indicus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Hemigymnus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Goldbar (Thalassoma hebraicum),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Genus Soldier,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Genus Squirrel,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Genus Naso,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Genus Chromis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Naso,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Oxycheilinus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Mullidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Regal (Pygoplites diacanthus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Scarus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Siganidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Serranidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Sulfur (Pomacentrus sulfureus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zanclidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zanclus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zebrasoma,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Swarthy (Scarus niger),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Trumpetfish (Aulostomus chinensis),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Tubelip (Labrichthys unilineatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Threadfin (Chaetodon auriga),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Thalassoma,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Sixbar (Thalassoma hardwicke),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Spotted (Chaetodon guttatissimus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Scaridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Red (Lutjanus bohar),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pseudocheilinus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pomacentrus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pomacentridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Sailfin Tang (Zebrasoma desjardinii),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Redmouth (Aethaloperca rogaa),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pycnochromis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pygoplites,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pomacanthidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Linedcheeked (Oxycheilinus digramma),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Epinephelus,5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Abudefduf,5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Acanthurus,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lethrinus,5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Wirenet (Cantherhines pardalis),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Tetraodontidae,5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Slingjaw (Epibulus insidiator),5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Whitetail (Acanthurus thompsoni),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Yellowhead (Chaetodon xanthocephalus),5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Siganus,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Red-breasted (Cheilinus fasciatus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
False-eye (Abudefduf sparoides),5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Epibulus,5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Chromis,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Canthigaster,5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Humpback Unicorn (Naso brachycentron),5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Golden (Ctenochaetus truncates),5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Honeycomb (Siganus stellatus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Monacanthidae,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Anampses,5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Black Saddled Toby (Canthigaster valentini),5,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Cantherhines,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blue-green (Chromis viridis),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blue-streak (Labroides dimidiatus),5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Black-backed (Chaetodon melannotus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Calotomus,4,"FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Blacktip (Epinephelus fasciatus),4,"FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Ternate (Chromis ternatensis),4,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Stareye (Calotomus carolinus),4,"FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Yellowbreast (Anampses twistii),4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Rockmover (Novaculichthys taeniourus),4,"CONTROL, FISCHMIX, GLASNUDEL, SARGASSUM",ubiquitous
Raccoon (Chaetodon lunula),4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Orangespotted (Lethrinus erythracanthus),4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Longfin Banner (Heniochus acuminatus),4,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL",ubiquitous
Heniochus,4,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL",ubiquitous
Novaculichthys,4,"CONTROL, FISCHMIX, GLASNUDEL, SARGASSUM",ubiquitous
Sidespot (Parupeneus pleurostigma),3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Speckled (Parapercis hexophthalma),3,"CONTROL, FISCHMIX, SARGASSUM",ubiquitous
Pinguipedidae,3,"CONTROL, FISCHMIX, SARGASSUM",ubiquitous
Halfmoon (Sufflamen chrysopterum),3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Sufflamen,3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Yellowtail (Anampses meleagrides),3,"FISCHMIX, MEERSALAT, SARGASSUM",ubiquitous
Whiteline (Stethojulis albovittata),3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Scolopsis,3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Scombridae,3,"GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Plagiotremus,3,"MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Nemipteridae,3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Meyer's (Chaetodon meyeri),3,"CONTROL, MACKEREL, SARGASSUM",ubiquitous
Arabian Monocle (Scolopsis ghanam),3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Forcipiger,3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Claudia (Halichoeres claudia),3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Stethojulis,3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Genus Caesio,3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Humphead (Cheilinus undulatus),3,"FISCHMIX, MACKEREL, SARGASSUM",ubiquitous
Longnose (Forcipiger flavissimus),3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Palenose (Scarus psittacus),3,"CONTROL, GLASNUDEL, MACKEREL",ubiquitous
Piano Fangblenny (Plagiotremus tapeinosoma),3,"MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Parapercis,3,"CONTROL, FISCHMIX, SARGASSUM",ubiquitous
Snubnose (Lethrinus borbonicus),2,"FISCHMIX, GLASNUDEL",multi-bait
Cetoscarus,2,"GLASNUDEL, MEERSALAT",multi-bait
Coris,2,"MACKEREL, MEERSALAT",multi-bait
Diodontidae,2,"GLASNUDEL, SARGASSUM",multi-bait
Diodon,2,"GLASNUDEL, SARGASSUM",multi-bait
Aluterus,2,"MACKEREL, SARGASSUM",multi-bait
Undulated (Gymnothorax undulatus),2,"FISCHMIX, MACKEREL",multi-bait
Scorpaenidae,2,"GLASNUDEL, SARGASSUM",multi-bait
Oxymonacanthus,2,"CONTROL, SARGASSUM",multi-bait
Spotted (Diodon hystrix),2,"GLASNUDEL, SARGASSUM",multi-bait
Spotted (Cetoscarus ocellatus),2,"GLASNUDEL, MEERSALAT",multi-bait
Scrawled (Aluterus scriptus),2,"MACKEREL, SARGASSUM",multi-bait
Saddleback (Chaetodon falcula),2,"FISCHMIX, SARGASSUM",multi-bait
Pyramid (Hemitaurichthys zoster),2,"CONTROL, SARGASSUM",multi-bait
Queenfish (Scomberoides lysan),2,"CONTROL, MACKEREL",multi-bait
Lined (Chaetodon lineolatus),2,"CONTROL, SARGASSUM",multi-bait
Powder Blue (Acanthurus leucosternon),2,"CONTROL, GLASNUDEL",multi-bait
Genus Siganus,2,"FISCHMIX, MEERSALAT",multi-bait
Hemitaurichthys,2,"CONTROL, SARGASSUM",multi-bait
Gymnothorax,2,"FISCHMIX, MACKEREL",multi-bait
Scomberoides,2,"CONTROL, MACKEREL",multi-bait
Muraenidae,2,"FISCHMIX, MACKEREL",multi-bait
Longnose (Oxymonacanthus longirostris),2,"CONTROL, SARGASSUM",multi-bait
Apolemichthys,1,CONTROL,bait-specific
Brassy Trevally (Caranx papuensis),1,MACKEREL,bait-specific
Emperor (Pomacanthus imperator),1,MEERSALAT,bait-specific
Clown (Coris aygula),1,MEERSALAT,bait-specific
Dascyllus,1,MACKEREL,bait-specific
Cigar (Cheilio inermis),1,FISCHMIX,bait-specific
Chevroned (Chaetodon trifascialis),1,MACKEREL,bait-specific
Cheilio,1,FISCHMIX,bait-specific
Longnose (Lethrinus olivaceus),1,FISCHMIX,bait-specific
Genus Ctenochaetus,1,GLASNUDEL,bait-specific
Peacock (Cephalopholis argus),1,MACKEREL,bait-specific
Monk (Acanthurus gahhm),1,MACKEREL,bait-specific
Potato (Epinephelus tukula),1,CONTROL,bait-specific
Pomacanthus,1,MEERSALAT,bait-specific
Spotted Toby (Canthigaster solandri),1,GLASNUDEL,bait-specific
Spot-tail (Coris caudimacula),1,MACKEREL,bait-specific
Threespot (Apolemichthys trimaculatus),1,CONTROL,bait-specific
Threespot Dascyllus (Dascyllus trimaculatus),1,MACKEREL,bait-specific
