species,baits_count,baits,specificity
Monacanthidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lethrinus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lethrinidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Longbarbel (Parupeneus macronemus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lined Bristletooth (Ctenochaetus striatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Longnose (Oxymonacanthus longirostris),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Labridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Indian Redfin (Chaetodon trifasciatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Indian Half-and-Half (Pycnochromis dimidiatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Hemigymnus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Honeycomb (Siganus stellatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Humpnose Bigeye (Monotaxis grandoculis),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Goldbar (Thalassoma hebraicum),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Genus Chromis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Green (Amblyglyphidodon indicus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Gomphosus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Freckled (Paracirrhites forsteri),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Siganidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Redmouth (Aethaloperca rogaa),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Red (Lutjanus bohar),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Scaridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Serranidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Scarus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Regal (Pygoplites diacanthus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Siganus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Yellowhead (Chaetodon xanthocephalus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zebrasoma,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Sixbar (Thalassoma hardwicke),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Spotted (Chaetodon guttatissimus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Swarthy (Scarus niger),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Titan (Balistoides viridescens),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Threadfin (Chaetodon auriga),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Thalassoma,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pygoplites,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pseudocheilinus,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zanclidae,5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Red-breasted (Cheilinus fasciatus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Scissortail Sergeant (Abudefduf sexfasciatus),5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aulostomidae,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blackeye (Hemigymnus melapterus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aulostomus,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cantherhines,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Canthigaster,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Carangidae,5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Abudefduf,5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blenniidae,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Checkerboard (Halichoeres hortulanus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Disappearing (Pseudocheilinus evanidus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chevroned (Chaetodon trifascialis),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Wirenet (Cantherhines pardalis),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Speckled (Parapercis hexophthalma),5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Zanclus,5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Halichoeres,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Humpback Unicorn (Naso brachycentron),5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Pinguipedidae,5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Parapercis,5,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Trumpetfish (Aulostomus chinensis),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Leopard (Cephalopholis leopardus),5,"FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Meiacanthus,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Moorish Idol (Zanclus cornutus),5,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Tetraodontidae,5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Meyer's (Chaetodon meyeri),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Mozambique Fangblenny (Meiacanthus mossambicus),5,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Slingjaw (Epibulus insidiator),4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Epibulus,4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Paletail Unicorn (Naso brevirostris),4,"GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Orangespotted (Lethrinus erythracanthus),4,"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Black Saddled Toby (Canthigaster valentini),4,"CONTROL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bluefin (Caranx melampygus),4,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Caranx,4,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Spotted Toby (Canthigaster solandri),4,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Tubelip (Labrichthys unilineatus),4,"CONTROL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Saddleback (Chaetodon falcula),4,"CONTROL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Labrichthys,4,"CONTROL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lined (Chaetodon lineolatus),4,"CONTROL, GLASNUDEL, MACKEREL, SARGASSUM",ubiquitous
Genus Naso,3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Black-lipped (Chaetodon kleinii),3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Snubnose (Lethrinus borbonicus),3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Sidespot (Parupeneus pleurostigma),3,"GLASNUDEL, MEERSALAT, SARGASSUM",ubiquitous
Scombridae,3,"CONTROL, GLASNUDEL, MEERSALAT",ubiquitous
Yellowstripe (Mulloidichthys flavolineatus),3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Lyretail Hogfish (Bodianus anthioides),3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Heniochus,3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Holocentridae,3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Hipposcarus,3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Indian Longnose (Hipposcarus harid),3,"FISCHMIX, MACKEREL, MEERSALAT",ubiquitous
Genus Squirrel,3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Genus Soldier,3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Oxycheilinus,3,"GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Forcipiger,3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Longnose (Forcipiger flavissimus),3,"CONTROL, GLASNUDEL, SARGASSUM",ubiquitous
Linedcheeked (Oxycheilinus digramma),3,"GLASNUDEL, MACKEREL, MEERSALAT",ubiquitous
Labroides,3,"FISCHMIX, GLASNUDEL, MACKEREL",ubiquitous
Mulloidichthys,3,"CONTROL, MEERSALAT, SARGASSUM",ubiquitous
Stareye (Calotomus carolinus),2,"MEERSALAT, SARGASSUM",multi-bait
Cheloniidae,2,"MACKEREL, SARGASSUM",multi-bait
Chromis,2,"FISCHMIX, MACKEREL",multi-bait
Bicolor (Labroides bicolor),2,"GLASNUDEL, MACKEREL",multi-bait
Hemitaurichthys,2,"MACKEREL, MEERSALAT",multi-bait
Humphead (Cheilinus undulatus),2,"FISCHMIX, GLASNUDEL",multi-bait
Genus Siganus,2,"MEERSALAT, SARGASSUM",multi-bait
Longfin Banner (Heniochus acuminatus),2,"MACKEREL, MEERSALAT",multi-bait
Thumbprint (Lethrinus harak),2,"FISCHMIX, MACKEREL",multi-bait
Ternate (Chromis ternatensis),2,"FISCHMIX, MACKEREL",multi-bait
Pyramid (Hemitaurichthys zoster),2,"MACKEREL, MEERSALAT",multi-bait
Genus Acanthurus,2,"CONTROL, GLASNUDEL",multi-bait
Caesionidae,2,"GLASNUDEL, SARGASSUM",multi-bait
Fistulariidae,2,"CONTROL, MACKEREL",multi-bait
Blue-streak (Labroides dimidiatus),2,"FISCHMIX, MACKEREL",multi-bait
Calotomus,2,"MEERSALAT, SARGASSUM",multi-bait
Masked Banner (Heniochus monoceros),2,"FISCHMIX, MEERSALAT",multi-bait
Acanthurus,1,MACKEREL,bait-specific
Aluterus,1,CONTROL,bait-specific
Elegant Unicorn (Naso elegans),1,SARGASSUM,bait-specific
Diodontidae,1,MACKEREL,bait-specific
Dasyatidae,1,CONTROL,bait-specific
Diodon,1,MACKEREL,bait-specific
Bridled (Scarus frenatus),1,MACKEREL,bait-specific
Cetoscarus,1,SARGASSUM,bait-specific
Blue-green (Chromis viridis),1,FISCHMIX,bait-specific
Blue-spotted Ribbontail (Taeniura lymma),1,CONTROL,bait-specific
Arabian Monocle (Scolopsis ghanam),1,MACKEREL,bait-specific
Nemipteridae,1,MACKEREL,bait-specific
Muraenidae,1,MACKEREL,bait-specific
Monk (Acanthurus gahhm),1,MACKEREL,bait-specific
Genus Caesio,1,GLASNUDEL,bait-specific
Epinephelus,1,MACKEREL,bait-specific
Genus Canthigaster,1,MACKEREL,bait-specific
Gymnothorax,1,MACKEREL,bait-specific
Novaculichthys,1,MEERSALAT,bait-specific
Scrawled (Aluterus scriptus),1,CONTROL,bait-specific
Scolopsis,1,MACKEREL,bait-specific
Scomberoides,1,MACKEREL,bait-specific
Rockmover (Novaculichthys taeniourus),1,MEERSALAT,bait-specific
Queenfish (Scomberoides lysan),1,MACKEREL,bait-specific
Potato (Epinephelus tukula),1,MACKEREL,bait-specific
Sailfin Tang (Zebrasoma desjardinii),1,MACKEREL,bait-specific
Teardrop (Chaetodon interruptus),1,SARGASSUM,bait-specific
Taeniura,1,CONTROL,bait-specific
Spotted (Diodon hystrix),1,MACKEREL,bait-specific
Stethojulis,1,MACKEREL,bait-specific
Spotted (Cetoscarus ocellatus),1,SARGASSUM,bait-specific
Undulated (Gymnothorax undulatus),1,MACKEREL,bait-specific
Weber's puller (Chromis weberi),1,MACKEREL,bait-specific
Whiteline (Stethojulis albovittata),1,MACKEREL,bait-specific
