species,baits
Chaetodon,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Chaetodontidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Checkerboard (Halichoeres hortulanus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Cheilinus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Cheilio,FISCHMIX
Chevroned (Chaetodon trifascialis),MACKEREL
Chlorurus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Chromis,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Cigar (Cheilio inermis),FISCHMIX
Cirrhitidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Claudia (Halichoeres claudia),"FISCHMIX, MACKEREL, MEERSALAT"
Clown (Coris aygula),MEERSALAT
Coris,"MACKEREL, MEERSALAT"
Ctenochaetus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Dascyllus,MACKEREL
Diodon,"GLASNUDEL, SARGASSUM"
Diodontidae,"GLASNUDEL, SARGASSUM"
Disappearing (Pseudocheilinus evanidus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Eclipse (Chaetodon bennetti),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Elegant Unicorn (Naso elegans),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Emperor (Pomacanthus imperator),MEERSALAT
Epibulus,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Epinephelus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT"
False-eye (Abudefduf sparoides),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Five-saddle (Scarus saber),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Forcipiger,"CONTROL, MEERSALAT, SARGASSUM"
Freckled (Paracirrhites forsteri),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Genus Caesio,"CONTROL, MEERSALAT, SARGASSUM"
Genus Chromis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Genus Ctenochaetus,GLASNUDEL
Genus Naso,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Genus Siganus,"FISCHMIX, MEERSALAT"
Genus Soldier,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Genus Squirrel,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Goldbar (Thalassoma hebraicum),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Golden (Ctenochaetus truncates),"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Gomphosus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Green (Amblyglyphidodon indicus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Gymnothorax,"FISCHMIX, MACKEREL"
Halfmoon (Sufflamen chrysopterum),"CONTROL, GLASNUDEL, SARGASSUM"
Halichoeres,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Hemigymnus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Hemitaurichthys,"CONTROL, SARGASSUM"
Heniochus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL"
Holocentridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Honeycomb (Siganus stellatus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Humpback Unicorn (Naso brachycentron),"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Humphead (Cheilinus undulatus),"FISCHMIX, MACKEREL, SARGASSUM"
Humpnose Bigeye (Monotaxis grandoculis),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Indian Half-and-Half (Pycnochromis dimidiatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Indian Redfin (Chaetodon trifasciatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Labrichthys,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Labridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Labroides,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Leopard (Cephalopholis leopardus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lethrinidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lethrinus,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Lined (Chaetodon lineolatus),"CONTROL, SARGASSUM"
Lined Bristletooth (Ctenochaetus striatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Linedcheeked (Oxycheilinus digramma),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Longbarbel (Parupeneus macronemus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Longfin Banner (Heniochus acuminatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL"
Longnose (Forcipiger flavissimus),"CONTROL, MEERSALAT, SARGASSUM"
Longnose (Lethrinus olivaceus),FISCHMIX
Longnose (Oxymonacanthus longirostris),"CONTROL, SARGASSUM"
Lutjanidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Lutjanus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Meiacanthus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Meyer's (Chaetodon meyeri),"CONTROL, MACKEREL, SARGASSUM"
Monacanthidae,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Monk (Acanthurus gahhm),MACKEREL
Monotaxis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Moon (Thalassoma lunare),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Moorish Idol (Zanclus cornutus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Mozambique Fangblenny (Meiacanthus mossambicus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Mullidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Muraenidae,"FISCHMIX, MACKEREL"
Naso,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Nemipteridae,"CONTROL, GLASNUDEL, MEERSALAT"
Novaculichthys,"CONTROL, FISCHMIX, GLASNUDEL, SARGASSUM"
Orange-lined (Balistapus undulatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Orangespotted (Lethrinus erythracanthus),"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM"
Oxycheilinus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Oxymonacanthus,"CONTROL, SARGASSUM"
Palenose (Scarus psittacus),"CONTROL, GLASNUDEL, MACKEREL"
Paletail Unicorn (Naso brevirostris),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Paracirrhites,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Parapercis,"CONTROL, FISCHMIX, SARGASSUM"
Parupeneus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Peacock (Cephalopholis argus),MACKEREL
Piano Fangblenny (Plagiotremus tapeinosoma),"MACKEREL, MEERSALAT, SARGASSUM"
Pinguipedidae,"CONTROL, FISCHMIX, SARGASSUM"
Plagiotremus,"MACKEREL, MEERSALAT, SARGASSUM"
Pomacanthidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pomacanthus,MEERSALAT
Pomacentridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pomacentrus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Potato (Epinephelus tukula),CONTROL
Powder Blue (Acanthurus leucosternon),"CONTROL, GLASNUDEL"
Pseudocheilinus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pycnochromis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pygoplites,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Pyramid (Hemitaurichthys zoster),"CONTROL, SARGASSUM"
Queenfish (Scomberoides lysan),"CONTROL, MACKEREL"
Raccoon (Chaetodon lunula),"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM"
Red (Lutjanus bohar),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Red-breasted (Cheilinus fasciatus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Redmouth (Aethaloperca rogaa),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Regal (Pygoplites diacanthus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Rockmover (Novaculichthys taeniourus),"CONTROL, FISCHMIX, GLASNUDEL, SARGASSUM"
Saddleback (Chaetodon falcula),"FISCHMIX, SARGASSUM"
Sailfin Tang (Zebrasoma desjardinii),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Scaridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Scarus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Scolopsis,"CONTROL, GLASNUDEL, MEERSALAT"
Scomberoides,"CONTROL, MACKEREL"
Scombridae,"GLASNUDEL, MACKEREL, SARGASSUM"
Scorpaenidae,"GLASNUDEL, SARGASSUM"
Scrawled (Aluterus scriptus),"MACKEREL, SARGASSUM"
Serranidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Sidespot (Parupeneus pleurostigma),"CONTROL, MEERSALAT, SARGASSUM"
Siganidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Siganus,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Sixbar (Thalassoma hardwicke),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Slingjaw (Epibulus insidiator),"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Snubnose (Lethrinus borbonicus),"FISCHMIX, GLASNUDEL"
Speckled (Parapercis hexophthalma),"CONTROL, FISCHMIX, SARGASSUM"
Spot-tail (Coris caudimacula),MACKEREL
Spotted (Cetoscarus ocellatus),"GLASNUDEL, MEERSALAT"
Spotted (Chaetodon guttatissimus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Spotted (Diodon hystrix),"GLASNUDEL, SARGASSUM"
Spotted Toby (Canthigaster solandri),GLASNUDEL
Stareye (Calotomus carolinus),"FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Stethojulis,"FISCHMIX, MACKEREL, MEERSALAT"
Sufflamen,"CONTROL, GLASNUDEL, SARGASSUM"
Sulfur (Pomacentrus sulfureus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Swarthy (Scarus niger),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Ternate (Chromis ternatensis),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT"
Tetraodontidae,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Thalassoma,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Threadfin (Chaetodon auriga),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Threespot (Apolemichthys trimaculatus),CONTROL
Threespot Dascyllus (Dascyllus trimaculatus),MACKEREL
Trumpetfish (Aulostomus chinensis),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Tubelip (Labrichthys unilineatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Undulated (Gymnothorax undulatus),"FISCHMIX, MACKEREL"
Whiteline (Stethojulis albovittata),"FISCHMIX, MACKEREL, MEERSALAT"
Whitetail (Acanthurus thompsoni),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Wirenet (Cantherhines pardalis),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Yellowbreast (Anampses twistii),"CONTROL, GLASNUDEL, MEERSALAT, SARGASSUM"
Yellowhead (Chaetodon xanthocephalus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT"
Yellowtail (Anampses meleagrides),"FISCHMIX, MEERSALAT, SARGASSUM"
Zanclidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Zanclus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Zebrasoma,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
